language,released,surveysection,section,survey,year,total
angular,2010,popular,framework,indeed,2018,146
angular,2010,popular,framework,stackoverflow,2015,292
angular,2010,popular,framework,stackoverflow,2016,884
angular,2010,framework,framework,stackoverflow,2018,190
angular,2010,framework,framework,stackoverflow,2017,896
angular,2010,framework,framework,indeed,2018,146
java,1995,popular,backend,stackoverflow,2016,179
java,1995,popular,backend,stackoverflow,2015,822
java,1995,popular,backend,stackoverflow,2017,145
java,1995,popular,backend,github,2016,763
java,1995,popular,backend,github,2017,986
java,1995,popular,backend,indeed,2018,670
mongodb,2007,databases,databases,stackoverflow,2018,171
mongodb,2007,databases,databases,stackoverflow,2017,618
mongodb,2007,databases,databases,indeed,2018,644
mysql,1995,databases,databases,stackoverflow,2018,388
mysql,1995,databases,databases,stackoverflow,2017,163
mysql,1995,databases,databases,indeed,2018,140
node,2009,popular,framework,stackoverflow,2015,292
node,2009,popular,framework,stackoverflow,2016,849
node,2009,framework,framework,stackoverflow,2018,328
node,2009,framework,framework,indeed,2018,126
node,2009,popular,framework,indeed,2018,126
postgresql,1996,databases,databases,stackoverflow,2018,218
postgresql,1996,databases,databases,stackoverflow,2017,780
postgresql,1996,databases,databases,indeed,2018,496
python,1989,popular,backend,stackoverflow,2018,303
python,1989,popular,backend,stackoverflow,2017,117
python,1989,popular,backend,stackoverflow,2015,523
python,1989,popular,backend,stackoverflow,2016,122
python,1989,popular,backend,stackoverflow,2018,303
python,1989,popular,backend,github,2017,100
python,1989,popular,backend,github,2016,744
python,1989,popular,backend,indeed,2018,557
react,2011,framework,framework,stackoverflow,2018,143
react,2011,framework,framework,stackoverflow,2017,394
react,2011,framework,framework,indeed,2018,526
sql,1973,popular,databases,stackoverflow,2018,446
sql,1973,popular,databases,stackoverflow,2017,187
sql,1973,popular,databases,stackoverflow,2015,105
sql,1973,popular,databases,stackoverflow,2018,446
sql,1973,popular,databases,stackoverflow,2016,242
sql,1973,popular,databases,indeed,2018,100
sql,1973,databases,databases,indeed,2018,100
sqlserver,1989,databases,databases,stackoverflow,2018,273
sqlserver,1989,databases,databases,stackoverflow,2017,113
sqlserver,1989,databases,databases,indeed,2018,348
php,1994,popular,backend,stackoverflow,2018,240
php,1994,popular,backend,stackoverflow,2015,652
php,1994,popular,backend,stackoverflow,2016,127
php,1994,popular,backend,stackoverflow,2017,102
php,1994,popular,backend,github,2016,478
php,1994,popular,backend,github,2017,559
php,1994,popular,backend,indeed,2018,141
javascript,1995,popular,frontend,stackoverflow,2018,546
javascript,1995,popular,frontend,stackoverflow,2017,228
javascript,1995,popular,frontend,stackoverflow,2015,119
javascript,1995,popular,frontend,stackoverflow,2018,546
javascript,1995,popular,frontend,stackoverflow,2016,273
javascript,1995,popular,frontend,github,2017,230
javascript,1995,popular,frontend,github,2016,160
javascript,1995,popular,frontend,indeed,2018,385
